dateStr, participantId,clockwise,correct, rt, sessionNo, blockNo, trialNo, rotation, noise, triggerTime, responseStart, responseEnd
2022_Jan_11_1606, 112233, True, True, 0.33398079999824404, 1, 1, 1, 0, 0, 4.800000169780105e-06, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.12402180000208318, 1, 1, 2, 0, 0, 1.9603483999999298, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.22763649999978952, 1, 1, 3, 0, 0, 3.7004831000012928, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.1675111000004108, 1, 1, 4, 1, 0, 5.570447900001454, NA, NA
2022_Jan_11_1606, 112233, False, False, 0.427112199999101, 1, 1, 5, 1, 0, 7.360429699998349, NA, NA
2022_Jan_11_1606, 112233, False, True, 0.2919545000004291, 1, 2, 6, 0, 0, 9.420309699999052, NA, NA
2022_Jan_11_1606, 112233, False, True, 0.22746059999917634, 1, 2, 7, 0, 0, 9.420309699999052, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.494470800000272, 1, 2, 8, 0, 0, 9.420309699999052, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.2010156999967876, 1, 2, 9, 0, 1, 9.420309699999052, NA, NA
2022_Jan_11_1606, 112233, True, True, 0.21452330000101938, 1, 2, 10, 0, 1, 9.420309699999052, NA, NA
