dateStr, participantId,clockwise,correct, rt, sessionNo, blockNo, trialNo, rotation, noise, triggerTime, responseStart, responseEnd
2022_Jan_07_1803, 12334, False, True, 0.38309630000730976, 1, 1, 1, 0, 0, NA, NA, NA
2022_Jan_07_1803, 12334, False, True, 0.1961699000094086, 1, 1, 2, 0, 0, NA, NA, NA
2022_Jan_07_1803, 12334, True, True, 0.3028406000084942, 1, 1, 3, 0, 0, NA, NA, NA
2022_Jan_07_1803, 12334, False, True, 0.3182486000005156, 1, 1, 4, 1, 0, NA, NA, NA
2022_Jan_07_1803, 12334, True, True, 0.12919459999829996, 1, 1, 5, 1, 0, NA, NA, NA
