dateStr, participantId,clockwise,correct, rt, sessionNo, blockNo, trialNo, rotation, noise, triggerTime, responseStart, responseEnd
2022_Jan_08_2241, 12345, False, True, 0.14519603200096753, 3, 1, 1, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.11842808700021124, 3, 1, 2, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.03710566900190315, 3, 1, 3, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.06921325499934028, 3, 1, 4, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.20594539800003986, 3, 1, 5, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.284403363999445, 3, 2, 6, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.12292271099795471, 3, 2, 7, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.30718388500099536, 3, 2, 8, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.19325978900087648, 3, 2, 9, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.2654135859993403, 3, 2, 10, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.23923414700038848, 3, 3, 11, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.14185907100181794, 3, 3, 12, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.14610931100105518, 3, 3, 13, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.24833155799933593, 3, 3, 14, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.1551815219972923, 3, 3, 15, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.0766266779974103, 3, 4, 16, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.29078502600168576, 3, 4, 17, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.08670172200072557, 3, 4, 18, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.057925612996768905, 3, 4, 19, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.08540939500016975, 3, 4, 20, 0, 0, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 1.1625031770017813, 3, 5, 21, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.14249016599933384, 3, 5, 22, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.39696418899984565, 3, 5, 23, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.2283218129996385, 3, 5, 24, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.09080717600227217, 3, 5, 25, 1, 2, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.02566556100282469, 3, 6, 26, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.11609685399889713, 3, 6, 27, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, True, True, 0.009450460998777999, 3, 6, 28, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.10671365799862542, 3, 6, 29, 7, 8, NA, NA, NA
2022_Jan_08_2241, 12345, False, True, 0.04017385100087267, 3, 6, 30, 7, 8, NA, NA, NA
