dateStr, participantId,clockwise,correct, rt, sessionNo, blockNo, trialNo, rotation, noise, triggerTime, responseStart, responseEnd
2022_Jan_11_1707, 9999, True, True, 0.29481400000076974, 1, 1, 1, 0, 0, 0, NA, NA
2022_Jan_11_1707, 9999, True, False, 0.6363822999992408, 1, 1, 2, 0, 0, 1.949234299998352, NA, NA
2022_Jan_11_1707, 9999, False, True, 2.0428433000015502, 1, 1, 3, 0, 0, 4.189927999999782, NA, NA
2022_Jan_11_1707, 9999, True, True, 0.009734700000990415, 1, 1, 4, 0, 0, 7.82978699999876, NA, NA
2022_Jan_11_1707, 9999, True, True, 0.1457765000013751, 1, 1, 5, 1, 0, 9.430416100000002, NA, NA
2022_Jan_11_1707, 9999, False, True, 18.726510600001347, 1, 2, 6, 0, 0, 11.186682100000326, NA, NA
2022_Jan_11_1707, 9999, False, False, 0.07610380000187433, 1, 2, 7, 0, 0, 40.07962739999857, NA, NA
2022_Jan_11_1707, 9999, True, False, 0.549675300000672, 1, 2, 8, 0, 0, 41.72981179999988, NA, NA
2022_Jan_11_1707, 9999, False, False, 0.6334375000005821, 1, 2, 9, 0, 0, 43.8700637999973, NA, NA
2022_Jan_11_1707, 9999, False, True, 0.18155649999971502, 1, 2, 10, 0, 0, 46.0890072000002, NA, NA
